"Date","May-24-2024"
"Time","22h13m52s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","depolarization"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-6.805621e-02,9.976753e-01,-3.507043e-03,4.695119e+01,-1.004696e-01,4.659719e-01,-2.014061e-01,1.008922e+02,-2.795289e+01,1.602178e-06,
2.999998e-02,-6.815755e-02,9.976681e-01,-3.602935e-03,4.695410e+01,-1.032167e-01,4.659212e-01,-2.069146e-01,1.008792e+02,-2.795339e+01,1.601995e-06,
5.999997e-02,-6.771590e-02,9.976992e-01,-3.282628e-03,4.694141e+01,-9.404053e-02,4.661420e-01,-1.885138e-01,1.008766e+02,-2.795212e+01,1.602463e-06,
8.999995e-02,-6.819446e-02,9.976671e-01,-3.147080e-03,4.695515e+01,-9.015735e-02,4.659028e-01,-1.807354e-01,1.009169e+02,-2.795374e+01,1.601866e-06,
1.199999e-01,-6.767587e-02,9.977013e-01,-3.491301e-03,4.694027e+01,-1.000186e-01,4.661621e-01,-2.004969e-01,1.008578e+02,-2.795232e+01,1.602388e-06,
1.499999e-01,-6.829840e-02,9.976588e-01,-3.495961e-03,4.695814e+01,-1.001521e-01,4.658508e-01,-2.007730e-01,1.009057e+02,-2.795358e+01,1.601924e-06,
1.799999e-01,-6.817516e-02,9.976699e-01,-2.637066e-03,4.695460e+01,-7.554647e-02,4.659124e-01,-1.514453e-01,1.008873e+02,-2.795259e+01,1.602289e-06,
2.099999e-01,-6.822386e-02,9.976676e-01,-2.211677e-03,4.695599e+01,-6.335993e-02,4.658881e-01,-1.270158e-01,1.009070e+02,-2.795305e+01,1.602120e-06,
2.399999e-01,-6.834697e-02,9.976586e-01,-2.438824e-03,4.695953e+01,-6.986723e-02,4.658265e-01,-1.400620e-01,1.009093e+02,-2.795355e+01,1.601936e-06,
2.699999e-01,-6.779791e-02,9.976962e-01,-2.383723e-03,4.694376e+01,-6.828871e-02,4.661010e-01,-1.368924e-01,1.008758e+02,-2.795244e+01,1.602345e-06,
2.999998e-01,-6.789318e-02,9.976899e-01,-2.334433e-03,4.694650e+01,-6.687663e-02,4.660534e-01,-1.340626e-01,1.008829e+02,-2.795236e+01,1.602376e-06,
3.299998e-01,-6.767625e-02,9.977050e-01,-2.180576e-03,4.694027e+01,-6.246896e-02,4.661619e-01,-1.252250e-01,1.008348e+02,-2.795158e+01,1.602662e-06,
3.599998e-01,-6.755392e-02,9.977136e-01,-2.000839e-03,4.693676e+01,-5.731984e-02,4.662230e-01,-1.149022e-01,1.008609e+02,-2.795114e+01,1.602825e-06,
3.899998e-01,-6.787954e-02,9.976915e-01,-2.023676e-03,4.694611e+01,-5.797410e-02,4.660602e-01,-1.162163e-01,1.008862e+02,-2.795186e+01,1.602561e-06,
4.199998e-01,-6.800880e-02,9.976826e-01,-2.055010e-03,4.694982e+01,-5.887175e-02,4.659956e-01,-1.180167e-01,1.008670e+02,-2.795229e+01,1.602400e-06,
4.499998e-01,-6.792651e-02,9.976874e-01,-2.409100e-03,4.694746e+01,-6.901570e-02,4.660367e-01,-1.383509e-01,1.008730e+02,-2.795200e+01,1.602506e-06,
4.799997e-01,-6.792306e-02,9.976877e-01,-2.387742e-03,4.694736e+01,-6.840383e-02,4.660385e-01,-1.371243e-01,1.008517e+02,-2.795197e+01,1.602520e-06,
5.099997e-01,-6.771335e-02,9.977028e-01,-1.990800e-03,4.694133e+01,-5.703225e-02,4.661433e-01,-1.143269e-01,1.008597e+02,-2.795193e+01,1.602533e-06,
5.399997e-01,-6.782773e-02,9.976950e-01,-1.996911e-03,4.694462e+01,-5.720733e-02,4.660861e-01,-1.146788e-01,1.008771e+02,-2.795212e+01,1.602463e-06,
5.699997e-01,-6.828657e-02,9.976635e-01,-2.133496e-03,4.695779e+01,-6.112020e-02,4.658567e-01,-1.225264e-01,1.008857e+02,-2.795317e+01,1.602077e-06,
5.999997e-01,-6.826263e-02,9.976647e-01,-2.299647e-03,4.695711e+01,-6.588010e-02,4.658687e-01,-1.320683e-01,1.008880e+02,-2.795334e+01,1.602013e-06,
6.299997e-01,-6.814003e-02,9.976733e-01,-2.230961e-03,4.695359e+01,-6.391239e-02,4.659300e-01,-1.281226e-01,1.008894e+02,-2.795324e+01,1.602048e-06,
6.599996e-01,-6.815231e-02,9.976733e-01,-1.808151e-03,4.695394e+01,-5.179974e-02,4.659238e-01,-1.038409e-01,1.008818e+02,-2.795303e+01,1.602127e-06,
6.899996e-01,-6.812733e-02,9.976751e-01,-1.772287e-03,4.695322e+01,-5.077232e-02,4.659363e-01,-1.017811e-01,1.008992e+02,-2.795296e+01,1.602153e-06,
7.199996e-01,-6.856264e-02,9.976448e-01,-2.022836e-03,4.696572e+01,-5.795002e-02,4.657187e-01,-1.161734e-01,1.009020e+02,-2.795361e+01,1.601914e-06,
7.499996e-01,-6.807524e-02,9.976764e-01,-2.756241e-03,4.695173e+01,-7.896060e-02,4.659624e-01,-1.582884e-01,1.008750e+02,-2.795214e+01,1.602457e-06,
7.799996e-01,-6.826205e-02,9.976641e-01,-2.589962e-03,4.695709e+01,-7.419704e-02,4.658690e-01,-1.487410e-01,1.008784e+02,-2.795248e+01,1.602329e-06,
