"Date","October-04-2023"
"Time","00h58m33s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",512
"Record Rate",1
"Record Time [s]",1.535999e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-3.233901e-03,-6.566945e-03,9.999732e-01,-5.810900e+01,4.479029e+01,4.983830e-01,9.037626e+01,1.003045e+02,-2.469165e+01,3.394966e-06,
2.999998e-02,-2.957921e-03,-6.857348e-03,9.999721e-01,-5.666649e+01,4.478605e+01,4.985210e-01,9.039290e+01,1.002958e+02,-2.469006e+01,3.396208e-06,
5.999997e-02,-2.870189e-03,-6.278149e-03,9.999762e-01,-5.728426e+01,4.480224e+01,4.985649e-01,9.035972e+01,1.002977e+02,-2.468757e+01,3.398157e-06,
8.999995e-02,-3.278681e-03,-6.561527e-03,9.999731e-01,-5.827525e+01,4.478986e+01,4.983607e-01,9.037595e+01,1.003009e+02,-2.469047e+01,3.395883e-06,
1.199999e-01,-3.323889e-03,-6.683012e-03,9.999721e-01,-5.822205e+01,4.478617e+01,4.983381e-01,9.038291e+01,1.003013e+02,-2.469389e+01,3.393212e-06,
1.499999e-01,-3.524409e-03,-6.463227e-03,9.999729e-01,-5.930186e+01,4.478910e+01,4.982378e-01,9.037032e+01,1.003169e+02,-2.469837e+01,3.389715e-06,
1.799999e-01,-2.833268e-03,-6.731713e-03,9.999733e-01,-5.641272e+01,4.479076e+01,4.985834e-01,9.038570e+01,1.002923e+02,-2.468970e+01,3.396487e-06,
2.099999e-01,-2.919853e-03,-6.386334e-03,9.999753e-01,-5.728502e+01,4.479883e+01,4.985401e-01,9.036591e+01,1.002935e+02,-2.468947e+01,3.396665e-06,
2.399999e-01,-3.235037e-03,-6.438035e-03,9.999740e-01,-5.833950e+01,4.479359e+01,4.983825e-01,9.036888e+01,1.003046e+02,-2.469176e+01,3.394878e-06,
2.699999e-01,-3.005420e-03,-6.138284e-03,9.999766e-01,-5.804362e+01,4.480420e+01,4.984973e-01,9.035170e+01,1.002967e+02,-2.469119e+01,3.395323e-06,
2.999998e-01,-3.416022e-03,-6.609272e-03,9.999723e-01,-5.866616e+01,4.478686e+01,4.982920e-01,9.037869e+01,1.003048e+02,-2.469301e+01,3.393898e-06,
3.299998e-01,-2.905951e-03,-6.669442e-03,9.999735e-01,-5.677165e+01,4.479158e+01,4.985470e-01,9.038214e+01,1.002918e+02,-2.469104e+01,3.395440e-06,
3.599998e-01,-2.844766e-03,-6.463511e-03,9.999751e-01,-5.687780e+01,4.479769e+01,4.985776e-01,9.037034e+01,1.002946e+02,-2.469021e+01,3.396088e-06,
3.899998e-01,-3.098090e-03,-6.363315e-03,9.999750e-01,-5.797997e+01,4.479725e+01,4.984510e-01,9.036460e+01,1.002994e+02,-2.469188e+01,3.394785e-06,
4.199998e-01,-3.208998e-03,-6.220140e-03,9.999755e-01,-5.864471e+01,4.479949e+01,4.983955e-01,9.035639e+01,1.003014e+02,-2.469276e+01,3.394093e-06,
4.499998e-01,-3.370739e-03,-6.602595e-03,9.999725e-01,-5.852255e+01,4.478762e+01,4.983146e-01,9.037831e+01,1.003032e+02,-2.469259e+01,3.394226e-06,
4.799997e-01,-3.152218e-03,-6.922687e-03,9.999711e-01,-5.724098e+01,4.478209e+01,4.984239e-01,9.039665e+01,1.002966e+02,-2.469322e+01,3.393734e-06,
5.099997e-01,-2.720538e-03,-6.241580e-03,9.999768e-01,-5.677555e+01,4.480494e+01,4.986397e-01,9.035762e+01,1.002927e+02,-2.469140e+01,3.395157e-06,
5.399997e-01,-3.133655e-03,-6.369480e-03,9.999748e-01,-5.809813e+01,4.479664e+01,4.984332e-01,9.036495e+01,1.003011e+02,-2.469378e+01,3.393295e-06,
5.699997e-01,-3.009496e-03,-6.238603e-03,9.999760e-01,-5.787631e+01,4.480157e+01,4.984953e-01,9.035745e+01,1.002943e+02,-2.469185e+01,3.394806e-06,
5.999997e-01,-3.445723e-03,-6.578208e-03,9.999724e-01,-5.882297e+01,4.478726e+01,4.982771e-01,9.037691e+01,1.003077e+02,-2.469261e+01,3.394211e-06,
6.299997e-01,-3.170197e-03,-6.799608e-03,9.999719e-01,-5.749823e+01,4.478507e+01,4.984149e-01,9.038959e+01,1.003008e+02,-2.469178e+01,3.394860e-06,
6.599996e-01,-2.907501e-03,-6.345127e-03,9.999756e-01,-5.730923e+01,4.480005e+01,4.985462e-01,9.036355e+01,1.002972e+02,-2.469094e+01,3.395516e-06,
6.899996e-01,-3.103562e-03,-6.307564e-03,9.999753e-01,-5.809947e+01,4.479861e+01,4.984482e-01,9.036140e+01,1.003045e+02,-2.469162e+01,3.394987e-06,
7.199996e-01,-3.063322e-03,-6.395484e-03,9.999749e-01,-5.779679e+01,4.479685e+01,4.984683e-01,9.036644e+01,1.002970e+02,-2.469120e+01,3.395316e-06,
7.499996e-01,-3.239570e-03,-6.611484e-03,9.999729e-01,-5.805223e+01,4.478908e+01,4.983802e-01,9.037881e+01,1.002991e+02,-2.469346e+01,3.393548e-06,
7.799996e-01,-3.044244e-03,-6.776717e-03,9.999724e-01,-5.709531e+01,4.478717e+01,4.984779e-01,9.038828e+01,1.002941e+02,-2.469316e+01,3.393780e-06,
8.099996e-01,-2.740686e-03,-6.300919e-03,9.999764e-01,-5.675370e+01,4.480315e+01,4.986297e-01,9.036102e+01,1.002924e+02,-2.468882e+01,3.397175e-06,
8.399996e-01,-2.981416e-03,-6.264313e-03,9.999759e-01,-5.772574e+01,4.480125e+01,4.985093e-01,9.035892e+01,1.002985e+02,-2.468834e+01,3.397548e-06,
8.699995e-01,-3.175756e-03,-6.394418e-03,9.999745e-01,-5.820553e+01,4.479546e+01,4.984121e-01,9.036638e+01,1.002993e+02,-2.468998e+01,3.396267e-06,
8.999995e-01,-3.304534e-03,-6.435289e-03,9.999738e-01,-5.859029e+01,4.479276e+01,4.983477e-01,9.036872e+01,1.003041e+02,-2.469206e+01,3.394638e-06,
9.299995e-01,-3.064056e-03,-6.831606e-03,9.999720e-01,-5.707840e+01,4.478550e+01,4.984680e-01,9.039143e+01,1.002922e+02,-2.469157e+01,3.395027e-06,
9.599995e-01,-2.881234e-03,-6.506506e-03,9.999747e-01,-5.694244e+01,4.479614e+01,4.985594e-01,9.037280e+01,1.002949e+02,-2.469211e+01,3.394601e-06,
9.899995e-01,-2.902934e-03,-6.146056e-03,9.999769e-01,-5.764126e+01,4.480527e+01,4.985485e-01,9.035215e+01,1.002984e+02,-2.469103e+01,3.395450e-06,
1.019999e+00,-3.129346e-03,-6.514596e-03,9.999739e-01,-5.782887e+01,4.479295e+01,4.984353e-01,9.037326e+01,1.002981e+02,-2.469206e+01,3.394645e-06,
1.049999e+00,-3.349220e-03,-6.344317e-03,9.999743e-01,-5.891498e+01,4.479448e+01,4.983254e-01,9.036351e+01,1.003029e+02,-2.469547e+01,3.391979e-06,
1.079999e+00,-3.201187e-03,-6.827010e-03,9.999716e-01,-5.756095e+01,4.478399e+01,4.983994e-01,9.039116e+01,1.003019e+02,-2.469463e+01,3.392636e-06,
1.109999e+00,-2.862168e-03,-6.586553e-03,9.999742e-01,-5.674361e+01,4.479426e+01,4.985689e-01,9.037739e+01,1.002940e+02,-2.469408e+01,3.393061e-06,
1.139999e+00,-2.758109e-03,-6.149114e-03,9.999773e-01,-5.707901e+01,4.480693e+01,4.986209e-01,9.035232e+01,1.002938e+02,-2.469174e+01,3.394890e-06,
1.169999e+00,-3.041784e-03,-6.546542e-03,9.999739e-01,-5.746073e+01,4.479320e+01,4.984791e-01,9.037509e+01,1.002979e+02,-2.469211e+01,3.394604e-06,
1.199999e+00,-3.448132e-03,-6.699234e-03,9.999716e-01,-5.861756e+01,4.478415e+01,4.982759e-01,9.038384e+01,1.002983e+02,-2.469684e+01,3.390905e-06,
1.229999e+00,-3.296326e-03,-6.827304e-03,9.999713e-01,-5.788598e+01,4.478281e+01,4.983518e-01,9.039118e+01,1.003054e+02,-2.469966e+01,3.388710e-06,
1.259999e+00,-2.649273e-03,-6.382593e-03,9.999761e-01,-5.627113e+01,4.480202e+01,4.986754e-01,9.036570e+01,1.002855e+02,-2.469509e+01,3.392277e-06,
