"Date","October-04-2023"
"Time","00h09m59s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",512
"Record Rate",1
"Record Time [s]",1.535999e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,4.675286e-01,5.564643e-01,6.868511e-01,2.498189e+01,2.169068e+01,7.337643e-01,5.098674e+01,1.002479e+02,-2.445470e+01,3.585339e-06,
2.999998e-02,4.676628e-01,5.561768e-01,6.869926e-01,2.497055e+01,2.169626e+01,7.338314e-01,5.100699e+01,1.002279e+02,-2.445432e+01,3.585651e-06,
5.999997e-02,4.677729e-01,5.561196e-01,6.869640e-01,2.496578e+01,2.169513e+01,7.338864e-01,5.100871e+01,1.002132e+02,-2.446185e+01,3.579436e-06,
8.999995e-02,4.676778e-01,5.563237e-01,6.868635e-01,2.497383e+01,2.169117e+01,7.338389e-01,5.099433e+01,1.002717e+02,-2.445322e+01,3.586557e-06,
1.199999e-01,4.677151e-01,5.562455e-01,6.869014e-01,2.497072e+01,2.169266e+01,7.338576e-01,5.099981e+01,1.002245e+02,-2.445694e+01,3.583486e-06,
1.499999e-01,4.675982e-01,5.564107e-01,6.868472e-01,2.497844e+01,2.169053e+01,7.337991e-01,5.098928e+01,1.002411e+02,-2.445837e+01,3.582309e-06,
1.799999e-01,4.676897e-01,5.561335e-01,6.870094e-01,2.496864e+01,2.169692e+01,7.338449e-01,5.100986e+01,1.002225e+02,-2.445417e+01,3.585778e-06,
2.099999e-01,4.678024e-01,5.560974e-01,6.869618e-01,2.496432e+01,2.169505e+01,7.339012e-01,5.100974e+01,1.002329e+02,-2.445418e+01,3.585765e-06,
2.399999e-01,4.676102e-01,5.563038e-01,6.869256e-01,2.497536e+01,2.169361e+01,7.338051e-01,5.099786e+01,1.002443e+02,-2.445535e+01,3.584801e-06,
2.699999e-01,4.676623e-01,5.563492e-01,6.868534e-01,2.497494e+01,2.169077e+01,7.338312e-01,5.099263e+01,1.002408e+02,-2.445709e+01,3.583367e-06,
