"Date","October-03-2023"
"Time","21h57m51s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-5.797232e-02,-9.983181e-01,-3.607737e-04,-4.666172e+01,-1.033540e-02,4.710138e-01,-1.799793e+02,1.006486e+02,-1.382994e+01,4.140053e-05,
2.999998e-02,-5.846896e-02,-9.982892e-01,-1.578885e-04,-4.667597e+01,-4.523171e-03,4.707655e-01,-1.799909e+02,1.006424e+02,-1.382800e+01,4.141902e-05,
5.999997e-02,-5.884049e-02,-9.982674e-01,-2.577482e-04,-4.668663e+01,-7.383941e-03,4.705798e-01,-1.799852e+02,1.007512e+02,-1.382912e+01,4.140840e-05,
8.999995e-02,-5.853156e-02,-9.982853e-01,-6.475235e-04,-4.667776e+01,-1.855018e-02,4.707342e-01,-1.799628e+02,1.006589e+02,-1.382672e+01,4.143122e-05,
1.199999e-01,-5.932738e-02,-9.982382e-01,-8.674907e-04,-4.670060e+01,-2.485178e-02,4.703363e-01,-1.799502e+02,1.007538e+02,-1.382853e+01,4.141399e-05,
1.499999e-01,-5.859962e-02,-9.982814e-01,-6.396580e-04,-4.667972e+01,-1.832485e-02,4.707002e-01,-1.799633e+02,1.007551e+02,-1.382749e+01,4.142393e-05,
1.799999e-01,-5.861571e-02,-9.982806e-01,-2.203480e-04,-4.668018e+01,-6.312506e-03,4.706921e-01,-1.799874e+02,1.006503e+02,-1.382790e+01,4.142001e-05,
2.099999e-01,-5.932501e-02,-9.982387e-01,-1.163171e-04,-4.670053e+01,-3.332240e-03,4.703375e-01,-1.799933e+02,1.007410e+02,-1.382771e+01,4.142182e-05,
2.399999e-01,-5.825959e-02,-9.983014e-01,-2.958634e-04,-4.666996e+01,-8.475862e-03,4.708702e-01,-1.799830e+02,1.006858e+02,-1.382302e+01,4.146657e-05,
2.699999e-01,-5.861636e-02,-9.982803e-01,-7.528784e-04,-4.668020e+01,-2.156838e-02,4.706918e-01,-1.799568e+02,1.006486e+02,-1.382457e+01,4.145179e-05,
2.999998e-01,-5.810991e-02,-9.983102e-01,-1.453738e-04,-4.666566e+01,-4.164654e-03,4.709450e-01,-1.799917e+02,1.006415e+02,-1.382184e+01,4.147787e-05,
3.299998e-01,-5.794108e-02,-9.983199e-01,-4.637434e-04,-4.666082e+01,-1.328527e-02,4.710295e-01,-1.799734e+02,1.006404e+02,-1.381801e+01,4.151440e-05,
3.599998e-01,-5.848372e-02,-9.982884e-01,-7.105745e-05,-4.667639e+01,-2.035646e-03,4.707581e-01,-1.799959e+02,1.006770e+02,-1.381840e+01,4.151067e-05,
3.899998e-01,-5.772293e-02,-9.983325e-01,-5.896701e-04,-4.665456e+01,-1.689281e-02,4.711385e-01,-1.799662e+02,1.006644e+02,-1.381750e+01,4.151926e-05,
4.199998e-01,-5.859775e-02,-9.982814e-01,-7.634866e-04,-4.667966e+01,-2.187228e-02,4.707011e-01,-1.799562e+02,1.006800e+02,-1.382033e+01,4.149222e-05,
4.499998e-01,-5.791157e-02,-9.983216e-01,-5.176020e-04,-4.665997e+01,-1.482821e-02,4.710442e-01,-1.799703e+02,1.006995e+02,-1.381783e+01,4.151610e-05,
4.799997e-01,-5.809861e-02,-9.983108e-01,-6.117257e-05,-4.666534e+01,-1.752465e-03,4.709507e-01,-1.799965e+02,1.006001e+02,-1.381578e+01,4.153577e-05,
5.099997e-01,-5.793218e-02,-9.983205e-01,-2.153788e-04,-4.666056e+01,-6.170148e-03,4.710339e-01,-1.799876e+02,1.006779e+02,-1.381094e+01,4.158207e-05,
5.399997e-01,-5.766324e-02,-9.983358e-01,-6.967447e-04,-4.665285e+01,-1.996027e-02,4.711684e-01,-1.799600e+02,1.006137e+02,-1.381121e+01,4.157943e-05,
5.699997e-01,-5.809833e-02,-9.983106e-01,-7.681875e-04,-4.666533e+01,-2.200695e-02,4.709508e-01,-1.799559e+02,1.007152e+02,-1.381157e+01,4.157599e-05,
5.999997e-01,-5.750891e-02,-9.983449e-01,-4.050088e-04,-4.664842e+01,-1.160265e-02,4.712455e-01,-1.799768e+02,1.006330e+02,-1.381102e+01,4.158126e-05,
