"Date","October-04-2023"
"Time","01h05m33s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",215
"Record Rate",1
"Record Time [s]",6.449997e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-5.322577e-01,5.347905e-01,6.562780e-01,6.743200e+01,2.050831e+01,2.338712e-01,5.082396e+01,5.150454e+01,-2.527546e+01,2.967933e-06,
2.999998e-02,-5.330818e-01,5.340654e-01,6.561996e-01,6.747359e+01,2.050534e+01,2.334591e-01,5.085867e+01,5.145673e+01,-2.527358e+01,2.969218e-06,
5.999997e-02,-5.326972e-01,5.344163e-01,6.562263e-01,6.745385e+01,2.050635e+01,2.336514e-01,5.084139e+01,5.144198e+01,-2.527576e+01,2.967730e-06,
8.999995e-02,-5.331970e-01,5.342977e-01,6.559169e-01,6.747046e+01,2.049460e+01,2.334015e-01,5.083438e+01,5.145837e+01,-2.527748e+01,2.966551e-06,
1.199999e-01,-5.325113e-01,5.342068e-01,6.565477e-01,6.745447e+01,2.051855e+01,2.337443e-01,5.086612e+01,5.145753e+01,-2.527596e+01,2.967589e-06,
1.499999e-01,-5.324756e-01,5.343177e-01,6.564863e-01,6.745053e+01,2.051622e+01,2.337622e-01,5.085767e+01,5.146353e+01,-2.527403e+01,2.968909e-06,
1.799999e-01,-5.332580e-01,5.339803e-01,6.561257e-01,6.748061e+01,2.050253e+01,2.333710e-01,5.085998e+01,5.145604e+01,-2.527740e+01,2.966607e-06,
2.099999e-01,-5.321369e-01,5.349383e-01,6.562555e-01,6.742479e+01,2.050746e+01,2.339316e-01,5.081524e+01,5.148774e+01,-2.527591e+01,2.967627e-06,
2.399999e-01,-5.337937e-01,5.340439e-01,6.556382e-01,6.749329e+01,2.048403e+01,2.331032e-01,5.083578e+01,5.143080e+01,-2.527560e+01,2.967835e-06,
2.699999e-01,-5.322797e-01,5.345054e-01,6.564924e-01,6.744023e+01,2.051645e+01,2.338601e-01,5.084808e+01,5.147658e+01,-2.527338e+01,2.969352e-06,
2.999998e-01,-5.325030e-01,5.342189e-01,6.565445e-01,6.745392e+01,2.051843e+01,2.337485e-01,5.086535e+01,5.146888e+01,-2.527209e+01,2.970233e-06,
3.299998e-01,-5.329738e-01,5.339120e-01,6.564122e-01,6.747481e+01,2.051341e+01,2.335131e-01,5.087581e+01,5.146399e+01,-2.527318e+01,2.969490e-06,
