"Date","October-04-2023"
"Time","00h20m17s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",512
"Record Rate",1
"Record Time [s]",1.535999e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-1.625230e-01,6.171128e-01,7.699078e-01,5.237720e+01,2.517281e+01,4.187385e-01,5.128639e+01,6.620834e+01,-2.524822e+01,2.986604e-06,
2.999998e-02,-1.624644e-01,6.167016e-01,7.702496e-01,5.237936e+01,2.518815e+01,4.187678e-01,5.131743e+01,6.619173e+01,-2.524625e+01,2.987965e-06,
5.999997e-02,-1.620566e-01,6.168704e-01,7.702003e-01,5.235972e+01,2.518594e+01,4.189717e-01,5.130799e+01,6.621347e+01,-2.524864e+01,2.986316e-06,
8.999995e-02,-1.621969e-01,6.169737e-01,7.700881e-01,5.236463e+01,2.518090e+01,4.189016e-01,5.129924e+01,6.624287e+01,-2.524694e+01,2.987488e-06,
1.199999e-01,-1.625914e-01,6.167938e-01,7.701490e-01,5.238382e+01,2.518364e+01,4.187043e-01,5.130960e+01,6.619030e+01,-2.524824e+01,2.986595e-06,
1.499999e-01,-1.626325e-01,6.171960e-01,7.698180e-01,5.238100e+01,2.516877e+01,4.186838e-01,5.127936e+01,6.622136e+01,-2.525091e+01,2.984757e-06,
1.799999e-01,-1.622822e-01,6.167533e-01,7.702466e-01,5.237086e+01,2.518802e+01,4.188589e-01,5.131498e+01,6.620361e+01,-2.524678e+01,2.987598e-06,
2.099999e-01,-1.621020e-01,6.169302e-01,7.701429e-01,5.236101e+01,2.518336e+01,4.189490e-01,5.130320e+01,6.621822e+01,-2.524839e+01,2.986491e-06,
2.399999e-01,-1.626976e-01,6.167383e-01,7.701710e-01,5.238907e+01,2.518462e+01,4.186512e-01,5.131291e+01,6.620052e+01,-2.525288e+01,2.983406e-06,
2.699999e-01,-1.622674e-01,6.169416e-01,7.700989e-01,5.236806e+01,2.518139e+01,4.188663e-01,5.130108e+01,6.621467e+01,-2.525399e+01,2.982639e-06,
2.999998e-01,-1.623926e-01,6.173461e-01,7.697483e-01,5.236888e+01,2.516565e+01,4.188037e-01,5.127003e+01,6.624384e+01,-2.525186e+01,2.984102e-06,
3.299998e-01,-1.623520e-01,6.168074e-01,7.701886e-01,5.237327e+01,2.518542e+01,4.188240e-01,5.131043e+01,6.620907e+01,-2.524862e+01,2.986334e-06,
3.599998e-01,-1.620038e-01,6.167987e-01,7.702688e-01,5.235824e+01,2.518902e+01,4.189981e-01,5.131373e+01,6.620724e+01,-2.524652e+01,2.987776e-06,
3.899998e-01,-1.626247e-01,6.168373e-01,7.701071e-01,5.238477e+01,2.518176e+01,4.186877e-01,5.130611e+01,6.620444e+01,-2.525123e+01,2.984537e-06,
4.199998e-01,-1.620390e-01,6.170217e-01,7.700828e-01,5.235723e+01,2.518066e+01,4.189805e-01,5.129687e+01,6.624192e+01,-2.524957e+01,2.985675e-06,
4.499998e-01,-1.624258e-01,6.172120e-01,7.698488e-01,5.237185e+01,2.517016e+01,4.187871e-01,5.127975e+01,6.621228e+01,-2.524935e+01,2.985829e-06,
4.799997e-01,-1.628440e-01,6.166522e-01,7.702090e-01,5.239642e+01,2.518633e+01,4.185780e-01,5.131820e+01,6.617271e+01,-2.525324e+01,2.983159e-06,
5.099997e-01,-1.617308e-01,6.169125e-01,7.702351e-01,5.234508e+01,2.518750e+01,4.191346e-01,5.130735e+01,6.621571e+01,-2.524786e+01,2.986857e-06,
