"Date","October-03-2023"
"Time","22h49m32s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",512
"Record Rate",1
"Record Time [s]",1.535999e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,5.119761e-01,-7.555904e-01,4.086119e-01,-2.793953e+01,1.205883e+01,7.559880e-01,1.515961e+02,4.630740e+01,-2.508179e+01,3.103283e-06,
2.999998e-02,5.124684e-01,-7.551432e-01,4.088213e-01,-2.791886e+01,1.206541e+01,7.562342e-01,1.515697e+02,4.630523e+01,-2.508268e+01,3.102647e-06,
5.999997e-02,5.120010e-01,-7.554092e-01,4.089155e-01,-2.793569e+01,1.206836e+01,7.560005e-01,1.515726e+02,4.630632e+01,-2.508541e+01,3.100692e-06,
8.999995e-02,5.124329e-01,-7.551715e-01,4.088135e-01,-2.792028e+01,1.206516e+01,7.562165e-01,1.515710e+02,4.629047e+01,-2.508447e+01,3.101364e-06,
1.199999e-01,5.124783e-01,-7.551558e-01,4.087857e-01,-2.791883e+01,1.206429e+01,7.562391e-01,1.515721e+02,4.628621e+01,-2.508299e+01,3.102423e-06,
1.499999e-01,5.124294e-01,-7.552307e-01,4.087085e-01,-2.792142e+01,1.206186e+01,7.562147e-01,1.515791e+02,4.630708e+01,-2.508007e+01,3.104508e-06,
1.799999e-01,5.124871e-01,-7.548314e-01,4.093734e-01,-2.791288e+01,1.208274e+01,7.562435e-01,1.515274e+02,4.628464e+01,-2.507986e+01,3.104658e-06,
2.099999e-01,5.123810e-01,-7.551586e-01,4.089024e-01,-2.792140e+01,1.206795e+01,7.561905e-01,1.515654e+02,4.630017e+01,-2.507686e+01,3.106807e-06,
2.399999e-01,5.126135e-01,-7.552508e-01,4.084404e-01,-2.791699e+01,1.205345e+01,7.563067e-01,1.515954e+02,4.628510e+01,-2.507738e+01,3.106430e-06,
2.699999e-01,5.119045e-01,-7.557067e-01,4.084865e-01,-2.794344e+01,1.205490e+01,7.559522e-01,1.516072e+02,4.630537e+01,-2.507909e+01,3.105211e-06,
